# Region type : patch oil_to_sphere
# Faces       : 360
# Area        : 2.795956e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)	areaAverage(heatTransferCoeff(T))
5             	4.951184e+02	-7.776931e+01
10            	4.904485e+02	-7.851811e+01
15            	4.858530e+02	-7.917956e+01
20            	4.813370e+02	-7.984019e+01
25            	4.768973e+02	-8.054300e+01
30            	4.725333e+02	-8.123811e+01
35            	4.682454e+02	-8.191750e+01
40            	4.640343e+02	-8.258437e+01
45            	4.599000e+02	-8.324066e+01
50            	4.558429e+02	-8.388797e+01
55            	4.518628e+02	-8.452956e+01
60            	4.479592e+02	-8.516414e+01
65            	4.441319e+02	-8.578848e+01
70            	4.403809e+02	-8.640447e+01
75            	4.367057e+02	-8.701196e+01
80            	4.331059e+02	-8.761096e+01
85            	4.295809e+02	-8.820061e+01
90            	4.261301e+02	-8.878079e+01
95            	4.227532e+02	-8.935155e+01
100           	4.194494e+02	-8.991292e+01
105           	4.162181e+02	-9.046522e+01
110           	4.130585e+02	-9.100814e+01
115           	4.099697e+02	-9.154124e+01
120           	4.069512e+02	-9.206462e+01
125           	4.040021e+02	-9.257798e+01
130           	4.011214e+02	-9.308137e+01
135           	3.983082e+02	-9.357471e+01
140           	3.955617e+02	-9.405766e+01
145           	3.928809e+02	-9.453034e+01
150           	3.902650e+02	-9.499247e+01
155           	3.877128e+02	-9.544422e+01
160           	3.852235e+02	-9.588539e+01
165           	3.827959e+02	-9.631593e+01
170           	3.804291e+02	-9.673612e+01
175           	3.781221e+02	-9.714610e+01
180           	3.758737e+02	-9.754581e+01
185           	3.736830e+02	-9.793524e+01
190           	3.715489e+02	-9.831388e+01
195           	3.694703e+02	-9.868130e+01
200           	3.674461e+02	-9.903955e+01
205           	3.654753e+02	-9.938762e+01
210           	3.635569e+02	-9.972458e+01
215           	3.616898e+02	-1.000515e+02
220           	3.598729e+02	-1.003687e+02
225           	3.581051e+02	-1.006760e+02
230           	3.563855e+02	-1.009729e+02
235           	3.547129e+02	-1.012597e+02
240           	3.530863e+02	-1.015364e+02
245           	3.515048e+02	-1.018038e+02
250           	3.499673e+02	-1.020621e+02
255           	3.484727e+02	-1.023115e+02
260           	3.470201e+02	-1.025521e+02
265           	3.456085e+02	-1.027836e+02
270           	3.442368e+02	-1.030060e+02
275           	3.429042e+02	-1.032198e+02
280           	3.416097e+02	-1.034245e+02
285           	3.403524e+02	-1.036207e+02
290           	3.391312e+02	-1.038077e+02
295           	3.379455e+02	-1.039856e+02
300           	3.367941e+02	-1.041539e+02
