# Wall heat-flux
# Time        	patch         	min           	max           	integral      
5             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
5             	minX	0.000000e+00	0.000000e+00	0.000000e+00
5             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
5             	minY	0.000000e+00	0.000000e+00	0.000000e+00
5             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
5             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
5             	oil_to_sphere	8.103447e+03	2.711547e+04	4.242289e+01
10            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
10            	minX	0.000000e+00	0.000000e+00	0.000000e+00
10            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
10            	minY	0.000000e+00	0.000000e+00	0.000000e+00
10            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
10            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
10            	oil_to_sphere	7.994814e+03	2.669972e+04	4.180620e+01
15            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
15            	minX	0.000000e+00	0.000000e+00	0.000000e+00
15            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
15            	minY	0.000000e+00	0.000000e+00	0.000000e+00
15            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
15            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
15            	oil_to_sphere	7.869925e+03	2.626657e+04	4.114111e+01
20            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
20            	minX	0.000000e+00	0.000000e+00	0.000000e+00
20            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
20            	minY	0.000000e+00	0.000000e+00	0.000000e+00
20            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
20            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
20            	oil_to_sphere	7.743380e+03	2.583597e+04	4.047633e+01
25            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
25            	minX	0.000000e+00	0.000000e+00	0.000000e+00
25            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
25            	minY	0.000000e+00	0.000000e+00	0.000000e+00
25            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
25            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
25            	oil_to_sphere	7.621141e+03	2.543451e+04	3.983290e+01
30            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
30            	minX	0.000000e+00	0.000000e+00	0.000000e+00
30            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
30            	minY	0.000000e+00	0.000000e+00	0.000000e+00
30            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
30            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
30            	oil_to_sphere	7.499023e+03	2.502693e+04	3.918549e+01
35            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
35            	minX	0.000000e+00	0.000000e+00	0.000000e+00
35            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
35            	minY	0.000000e+00	0.000000e+00	0.000000e+00
35            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
35            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
35            	oil_to_sphere	7.374941e+03	2.461105e+04	3.853118e+01
40            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
40            	minX	0.000000e+00	0.000000e+00	0.000000e+00
40            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
