# Region type : patch oil_to_sphere
# Faces       : 360
# Area        : 2.795956e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
0.5           	-7.569456e+01	4.995606e+02
1             	-7.504944e+01	4.992178e+02
1.5           	-7.442130e+01	4.988803e+02
2             	-7.381020e+01	4.985459e+02
2.5           	-7.321597e+01	4.982143e+02
3             	-7.263844e+01	4.978856e+02
3.5           	-7.207741e+01	4.975597e+02
4             	-7.153267e+01	4.972364e+02
4.5           	-7.100399e+01	4.969157e+02
5             	-7.049113e+01	4.965975e+02
5.5           	-6.999384e+01	4.962818e+02
6             	-6.951189e+01	4.959685e+02
6.5           	-6.904502e+01	4.956575e+02
7             	-6.859297e+01	4.953487e+02
7.5           	-6.815545e+01	4.950421e+02
8             	-6.773220e+01	4.947376e+02
8.5           	-6.732289e+01	4.944352e+02
9             	-6.692719e+01	4.941348e+02
9.5           	-6.654479e+01	4.938362e+02
10            	-6.617535e+01	4.935396e+02
