# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	oil_to_sphere	3.540667e+04	3.672992e+04	1.005432e+02
1             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1             	minX	0.000000e+00	0.000000e+00	0.000000e+00
1             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1             	minY	0.000000e+00	0.000000e+00	0.000000e+00
1             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1             	oil_to_sphere	3.510937e+04	3.640539e+04	9.966953e+01
1.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	oil_to_sphere	3.481479e+04	3.608404e+04	9.880411e+01
2             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minX	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2             	minY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	oil_to_sphere	3.452272e+04	3.576563e+04	9.794634e+01
2.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	oil_to_sphere	3.423314e+04	3.545014e+04	9.709613e+01
3             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3             	minX	0.000000e+00	0.000000e+00	0.000000e+00
3             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3             	minY	0.000000e+00	0.000000e+00	0.000000e+00
3             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3             	oil_to_sphere	3.394604e+04	3.513753e+04	9.625343e+01
3.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	oil_to_sphere	3.366139e+04	3.482778e+04	9.541816e+01
4             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4             	minX	0.000000e+00	0.000000e+00	0.000000e+00
4             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4             	minY	0.000000e+00	0.000000e+00	0.000000e+00
4             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4             	oil_to_sphere	3.337918e+04	3.452085e+04	9.459028e+01
4.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	oil_to_sphere	3.309799e+04	3.421674e+04	9.376972e+01
5             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
5             	minX	0.000000e+00	0.000000e+00	0.000000e+00
5             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
5             	minY	0.000000e+00	0.000000e+00	0.000000e+00
5             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
5             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
5             	oil_to_sphere	3.280757e+04	3.391538e+04	9.295634e+01
5.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	oil_to_sphere	3.251984e+04	3.361679e+04	9.215022e+01
6             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
6             	minX	0.000000e+00	0.000000e+00	0.000000e+00
6             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
6             	minY	0.000000e+00	0.000000e+00	0.000000e+00
6             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
6             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
6             	oil_to_sphere	3.223473e+04	3.332095e+04	9.135124e+01
6.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	oil_to_sphere	3.195223e+04	3.302781e+04	9.055936e+01
