# Wall heat-flux
# Time        	patch         	min           	max           	integral      
9.13576e-05   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
9.13576e-05   	minX	0.000000e+00	0.000000e+00	0.000000e+00
9.13576e-05   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
9.13576e-05   	minY	0.000000e+00	0.000000e+00	0.000000e+00
9.13576e-05   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
9.13576e-05   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
9.13576e-05   	oil_to_sphere	6.223605e+04	2.798990e+05	3.969774e+02
0.000182715   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000182715   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000182715   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000182715   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000182715   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000182715   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000182715   	oil_to_sphere	6.222742e+04	2.799690e+05	3.969879e+02
0.000274056   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000274056   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000274056   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000274056   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000274056   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000274056   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000274056   	oil_to_sphere	6.221987e+04	2.799381e+05	3.969593e+02
0.000365397   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000365397   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000365397   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000365397   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000365397   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000365397   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000365397   	oil_to_sphere	6.221704e+04	2.799083e+05	3.969337e+02
0.000456738   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000456738   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000456738   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000456738   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000456738   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000456738   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000456738   	oil_to_sphere	6.221824e+04	2.798811e+05	3.969126e+02
0.000548079   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000548079   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000548079   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000548079   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000548079   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000548079   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000548079   	oil_to_sphere	6.222575e+04	2.798792e+05	3.969279e+02
0.00063942    	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.00063942    	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.00063942    	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.00063942    	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.00063942    	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.00063942    	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.00063942    	oil_to_sphere	6.230524e+04	2.802080e+05	3.974133e+02
0.000668768   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000668768   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000668768   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000668768   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000668768   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000668768   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000668768   	oil_to_sphere	6.266148e+04	2.818168e+05	3.996995e+02
0.000670846   	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.000670846   	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.000670846   	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.000670846   	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.000670846   	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000670846   	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.000670846   	oil_to_sphere	6.685401e+04	3.009668e+05	4.267955e+02
