# Region type : patch oil_to_sphere
# Faces       : 1536
# Area        : 2.817294e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
0.01          	-6.714936e+03	4.995653e+02
0.02          	-5.281724e+03	4.942036e+02
0.03          	-4.393833e+03	4.934409e+02
0.04          	-3.491536e+03	4.931382e+02
0.05          	-2.636784e+03	4.931336e+02
0.06          	-1.860732e+03	4.933395e+02
0.07          	-1.373045e+03	4.936223e+02
0.08          	-1.438650e+03	4.937164e+02
0.09          	-1.865034e+03	4.935092e+02
0.1           	-2.344595e+03	4.930882e+02
0.11          	-2.785255e+03	4.925635e+02
0.12          	-3.159976e+03	4.920254e+02
0.13          	-3.491986e+03	4.913373e+02
0.14          	-3.780759e+03	4.906196e+02
0.15          	-4.022629e+03	4.898897e+02
0.16          	-4.216301e+03	4.891623e+02
0.17          	-4.362847e+03	4.884493e+02
0.18          	-4.465419e+03	4.877595e+02
0.19          	-4.528698e+03	4.870990e+02
0.2           	-4.558189e+03	4.864710e+02
0.21          	-4.559601e+03	4.858771e+02
0.22          	-4.538370e+03	4.853172e+02
0.23          	-4.499379e+03	4.847900e+02
0.24          	-4.446841e+03	4.842940e+02
0.25          	-4.384205e+03	4.838268e+02
0.26          	-4.314276e+03	4.833864e+02
0.27          	-4.239218e+03	4.829704e+02
0.28          	-4.160722e+03	4.825768e+02
0.29          	-4.080064e+03	4.822037e+02
0.3           	-3.998198e+03	4.818493e+02
0.31          	-3.915846e+03	4.815120e+02
0.32          	-3.833549e+03	4.811905e+02
0.33          	-3.751707e+03	4.808835e+02
0.34          	-3.670633e+03	4.805898e+02
0.35          	-3.590575e+03	4.803085e+02
0.36          	-3.511867e+03	4.800387e+02
0.37          	-3.435238e+03	4.797793e+02
0.38          	-3.361602e+03	4.795292e+02
0.39          	-3.291549e+03	4.792870e+02
0.4           	-3.225619e+03	4.790515e+02
0.41          	-3.152849e+03	4.787848e+02
0.42          	-3.093071e+03	4.785619e+02
0.43          	-3.039101e+03	4.783423e+02
0.44          	-2.990491e+03	4.781248e+02
0.45          	-2.946866e+03	4.779086e+02
0.46          	-2.907792e+03	4.776930e+02
0.47          	-2.872789e+03	4.774776e+02
0.48          	-2.841366e+03	4.772619e+02
0.49          	-2.813071e+03	4.770459e+02
0.5           	-2.787506e+03	4.768294e+02
0.51          	-2.764323e+03	4.766123e+02
0.52          	-2.741319e+03	4.763759e+02
0.53          	-2.723042e+03	4.761566e+02
0.54          	-2.706020e+03	4.759366e+02
0.55          	-2.690193e+03	4.757162e+02
0.56          	-2.675448e+03	4.754954e+02
0.57          	-2.661652e+03	4.752741e+02
0.58          	-2.648677e+03	4.750526e+02
0.59          	-2.636399e+03	4.748308e+02
0.6           	-2.624707e+03	4.746090e+02
0.61          	-2.613502e+03	4.743870e+02
0.62          	-2.602696e+03	4.741652e+02
0.63          	-2.592211e+03	4.739435e+02
0.64          	-2.581982e+03	4.737220e+02
0.65          	-2.571949e+03	4.735008e+02
0.66          	-2.562065e+03	4.732801e+02
0.67          	-2.552286e+03	4.730597e+02
0.68          	-2.542580e+03	4.728400e+02
0.69          	-2.532916e+03	4.726208e+02
0.7           	-2.523272e+03	4.724023e+02
0.71          	-2.513631e+03	4.721845e+02
0.72          	-2.503979e+03	4.719675e+02
0.73          	-2.494308e+03	4.717512e+02
0.74          	-2.484615e+03	4.715359e+02
0.75          	-2.465629e+03	4.713132e+02
0.76          	-2.454812e+03	4.711010e+02
0.77          	-2.449416e+03	4.708903e+02
0.78          	-2.438389e+03	4.706790e+02
0.79          	-2.430388e+03	4.704667e+02
0.8           	-2.427608e+03	4.702565e+02
0.81          	-2.417145e+03	4.700460e+02
0.82          	-2.409356e+03	4.698345e+02
0.83          	-2.407156e+03	4.696258e+02
0.84          	-2.396595e+03	4.694168e+02
0.85          	-2.388723e+03	4.692070e+02
0.86          	-2.342253e+03	4.690136e+02
0.87          	-2.298783e+03	4.688317e+02
0.88          	-2.257000e+03	4.686573e+02
0.89          	-2.214939e+03	4.684834e+02
0.9           	-2.175438e+03	4.683206e+02
0.91          	-2.136767e+03	4.681626e+02
0.92          	-2.098836e+03	4.680091e+02
0.93          	-2.061589e+03	4.678596e+02
0.94          	-2.024987e+03	4.677141e+02
0.95          	-1.989002e+03	4.675722e+02
0.96          	-1.953613e+03	4.674338e+02
0.97          	-1.918803e+03	4.672988e+02
0.98          	-1.884561e+03	4.671670e+02
0.99          	-1.850872e+03	4.670383e+02
1             	-2.052478e+03	4.668414e+02
