# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.32          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	oil_to_sphere	1.170213e+05	1.201293e+05	3.310376e+02
0.33          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	oil_to_sphere	1.169878e+05	1.200947e+05	3.309434e+02
0.34          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	oil_to_sphere	1.169543e+05	1.200600e+05	3.308490e+02
0.35          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	oil_to_sphere	1.169196e+05	1.200241e+05	3.307514e+02
0.36          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	oil_to_sphere	1.168860e+05	1.199893e+05	3.306568e+02
0.37          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	oil_to_sphere	1.168523e+05	1.199545e+05	3.305622e+02
0.38          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	oil_to_sphere	1.168187e+05	1.199197e+05	3.304676e+02
0.39          	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	oil_to_sphere	1.167843e+05	1.198841e+05	3.303707e+02
