# Wall heat-flux
# Time        	patch         	min           	max           	integral      
1e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	oil_to_sphere	2.334057e+05	2.393512e+05	6.591966e+02
2e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	oil_to_sphere	2.334542e+05	2.394010e+05	6.593336e+02
3e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	oil_to_sphere	2.334521e+05	2.393987e+05	6.593276e+02
4e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	oil_to_sphere	2.408661e+05	2.470068e+05	6.802379e+02
