# Wall heat-flux
# Time        	patch         	min           	max           	integral      
1e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1e-05         	oil_to_sphere	3.110207e+05	4.025935e+05	1.021306e+03
2e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2e-05         	oil_to_sphere	3.068415e+05	4.167773e+05	1.030773e+03
3e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3e-05         	oil_to_sphere	3.523282e+06	1.311447e+08	2.192108e+05
4e-05         	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	minX	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	minY	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4e-05         	oil_to_sphere	1.381748e+10	2.859003e+11	5.772101e+08
