# Region type : patch oil_to_sphere
# Faces       : 360
# Area        : 2.795956e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)	areaAverage(heatTransferCoeff(T))
0.5           	4.995606e+02	-7.569456e+01
1             	4.992178e+02	-7.504944e+01
1.5           	4.988803e+02	-7.442130e+01
2             	4.985459e+02	-7.381020e+01
2.5           	4.982143e+02	-7.321597e+01
3             	4.978856e+02	-7.263844e+01
3.5           	4.975597e+02	-7.207741e+01
4             	4.972364e+02	-7.153267e+01
4.5           	4.969157e+02	-7.100399e+01
5             	4.965975e+02	-7.049113e+01
5.5           	4.962818e+02	-6.999384e+01
6             	4.959685e+02	-6.951189e+01
6.5           	4.956575e+02	-6.904502e+01
7             	4.953487e+02	-6.859297e+01
7.5           	4.950421e+02	-6.815545e+01
8             	4.947376e+02	-6.773220e+01
8.5           	4.944352e+02	-6.732289e+01
9             	4.941348e+02	-6.692719e+01
9.5           	4.938362e+02	-6.654479e+01
10            	4.935396e+02	-6.617535e+01
