# Region type : patch oil_to_sphere
# Faces       : 1536
# Area        : 2.817674e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
2             	-1.656636e+02	4.967072e+02
4             	-1.527155e+02	4.938849e+02
6             	-1.411868e+02	4.912918e+02
8             	-1.311422e+02	4.889013e+02
10            	-1.308927e+02	4.866017e+02
12            	-1.306318e+02	4.843242e+02
14            	-1.303590e+02	4.820691e+02
16            	-1.300740e+02	4.798374e+02
18            	-1.297766e+02	4.776289e+02
20            	-1.294662e+02	4.754439e+02
22            	-1.291427e+02	4.732828e+02
24            	-1.288058e+02	4.711456e+02
26            	-1.284551e+02	4.690327e+02
28            	-1.280903e+02	4.669440e+02
30            	-1.277112e+02	4.648801e+02
32            	-1.273177e+02	4.628410e+02
34            	-1.269094e+02	4.608268e+02
36            	-1.264861e+02	4.588376e+02
38            	-1.260476e+02	4.568735e+02
40            	-1.255939e+02	4.549347e+02
42            	-1.251247e+02	4.530212e+02
44            	-1.246397e+02	4.511329e+02
46            	-1.241391e+02	4.492702e+02
48            	-1.236227e+02	4.474330e+02
50            	-1.230904e+02	4.456212e+02
52            	-1.225420e+02	4.438350e+02
54            	-1.219777e+02	4.420742e+02
56            	-1.213973e+02	4.403389e+02
58            	-1.208008e+02	4.386290e+02
60            	-1.201883e+02	4.369445e+02
62            	-1.195597e+02	4.352851e+02
64            	-1.189152e+02	4.336511e+02
66            	-1.182548e+02	4.320422e+02
68            	-1.175786e+02	4.304584e+02
70            	-1.168867e+02	4.288995e+02
72            	-1.161793e+02	4.273655e+02
74            	-1.154565e+02	4.258561e+02
76            	-1.147184e+02	4.243713e+02
78            	-1.139652e+02	4.229108e+02
80            	-1.131971e+02	4.214746e+02
82            	-1.124144e+02	4.200623e+02
84            	-1.116173e+02	4.186740e+02
86            	-1.108060e+02	4.173094e+02
88            	-1.099808e+02	4.159683e+02
90            	-1.091420e+02	4.146506e+02
92            	-1.082899e+02	4.133559e+02
94            	-1.074248e+02	4.120841e+02
96            	-1.065471e+02	4.108350e+02
98            	-1.056570e+02	4.096083e+02
100           	-1.047549e+02	4.084038e+02
102           	-1.038413e+02	4.072214e+02
104           	-1.029164e+02	4.060606e+02
106           	-1.019806e+02	4.049212e+02
108           	-1.010345e+02	4.038032e+02
110           	-1.000784e+02	4.027062e+02
112           	-9.911268e+01	4.016299e+02
114           	-9.813782e+01	4.005742e+02
116           	-9.715425e+01	3.995386e+02
118           	-9.616242e+01	3.985230e+02
120           	-9.516277e+01	3.975271e+02
122           	-9.415578e+01	3.965506e+02
124           	-9.314190e+01	3.955933e+02
126           	-9.212161e+01	3.946549e+02
128           	-9.109538e+01	3.937351e+02
130           	-9.006368e+01	3.928337e+02
132           	-8.902700e+01	3.919504e+02
134           	-8.798582e+01	3.910849e+02
136           	-8.694050e+01	3.902368e+02
138           	-8.589175e+01	3.894061e+02
140           	-8.483994e+01	3.885925e+02
142           	-8.378555e+01	3.877955e+02
144           	-8.272905e+01	3.870150e+02
146           	-8.167093e+01	3.862508e+02
148           	-8.061165e+01	3.855024e+02
150           	-7.955168e+01	3.847698e+02
152           	-7.849149e+01	3.840525e+02
154           	-7.743153e+01	3.833504e+02
156           	-7.637226e+01	3.826632e+02
158           	-7.531412e+01	3.819906e+02
160           	-7.425755e+01	3.813323e+02
162           	-7.320298e+01	3.806882e+02
164           	-7.215085e+01	3.800579e+02
166           	-7.110156e+01	3.794413e+02
168           	-7.005552e+01	3.788380e+02
170           	-6.901314e+01	3.782478e+02
172           	-6.797481e+01	3.776706e+02
174           	-6.694089e+01	3.771059e+02
176           	-6.591177e+01	3.765536e+02
178           	-6.488781e+01	3.760136e+02
180           	-6.386924e+01	3.754853e+02
182           	-6.285662e+01	3.749689e+02
184           	-6.185017e+01	3.744639e+02
186           	-6.085021e+01	3.739701e+02
188           	-5.985703e+01	3.734874e+02
190           	-5.887094e+01	3.730155e+02
192           	-5.789222e+01	3.725543e+02
194           	-5.692113e+01	3.721033e+02
196           	-5.595794e+01	3.716626e+02
198           	-5.500289e+01	3.712318e+02
200           	-5.405622e+01	3.708108e+02
202           	-5.311815e+01	3.703994e+02
204           	-5.218889e+01	3.699974e+02
206           	-5.126864e+01	3.696045e+02
208           	-5.035759e+01	3.692206e+02
210           	-4.945592e+01	3.688455e+02
212           	-4.856379e+01	3.684791e+02
214           	-4.768136e+01	3.681210e+02
216           	-4.680877e+01	3.677713e+02
218           	-4.594614e+01	3.674296e+02
220           	-4.509361e+01	3.670958e+02
222           	-4.425129e+01	3.667697e+02
224           	-4.341926e+01	3.664513e+02
226           	-4.259763e+01	3.661402e+02
228           	-4.178647e+01	3.658364e+02
230           	-4.098586e+01	3.655397e+02
232           	-4.019584e+01	3.652499e+02
234           	-3.941648e+01	3.649669e+02
236           	-3.864782e+01	3.646906e+02
238           	-3.788988e+01	3.644207e+02
240           	-3.714270e+01	3.641572e+02
242           	-3.640629e+01	3.638999e+02
244           	-3.568066e+01	3.636487e+02
246           	-3.496581e+01	3.634034e+02
248           	-3.426173e+01	3.631639e+02
250           	-3.356840e+01	3.629301e+02
252           	-3.288582e+01	3.627018e+02
254           	-3.221394e+01	3.624790e+02
256           	-3.155274e+01	3.622614e+02
258           	-3.090217e+01	3.620490e+02
260           	-3.026212e+01	3.618417e+02
262           	-2.963268e+01	3.616393e+02
264           	-2.901371e+01	3.614418e+02
266           	-2.840516e+01	3.612489e+02
268           	-2.780696e+01	3.610607e+02
270           	-2.721903e+01	3.608770e+02
272           	-2.664131e+01	3.606977e+02
274           	-2.607370e+01	3.605227e+02
276           	-2.551614e+01	3.603519e+02
278           	-2.496852e+01	3.601852e+02
280           	-2.443076e+01	3.600226e+02
282           	-2.390276e+01	3.598638e+02
284           	-2.338442e+01	3.597089e+02
286           	-2.287566e+01	3.595577e+02
288           	-2.237636e+01	3.594101e+02
290           	-2.188641e+01	3.592662e+02
292           	-2.140572e+01	3.591257e+02
294           	-2.093417e+01	3.589886e+02
296           	-2.047165e+01	3.588548e+02
298           	-2.001805e+01	3.587242e+02
300           	-1.957326e+01	3.585969e+02
302           	-1.913715e+01	3.584726e+02
304           	-1.870962e+01	3.583513e+02
306           	-1.829055e+01	3.582330e+02
308           	-1.787982e+01	3.581175e+02
310           	-1.747731e+01	3.580049e+02
312           	-1.708290e+01	3.578950e+02
314           	-1.669648e+01	3.577878e+02
316           	-1.631791e+01	3.576832e+02
318           	-1.594709e+01	3.575811e+02
320           	-1.558390e+01	3.574816e+02
322           	-1.522820e+01	3.573844e+02
324           	-1.487989e+01	3.572897e+02
326           	-1.453885e+01	3.571972e+02
328           	-1.420494e+01	3.571070e+02
330           	-1.387807e+01	3.570190e+02
332           	-1.355810e+01	3.569332e+02
334           	-1.324492e+01	3.568495e+02
336           	-1.293842e+01	3.567678e+02
338           	-1.263847e+01	3.566881e+02
340           	-1.234497e+01	3.566104e+02
342           	-1.205779e+01	3.565346e+02
344           	-1.177682e+01	3.564606e+02
346           	-1.150196e+01	3.563884e+02
348           	-1.123308e+01	3.563181e+02
350           	-1.097009e+01	3.562494e+02
352           	-1.071286e+01	3.561825e+02
354           	-1.046130e+01	3.561171e+02
356           	-1.021529e+01	3.560534e+02
358           	-9.974722e+00	3.559913e+02
360           	-9.739501e+00	3.559307e+02
362           	-9.509519e+00	3.558715e+02
364           	-9.284675e+00	3.558139e+02
366           	-9.064867e+00	3.557576e+02
368           	-8.849995e+00	3.557027e+02
370           	-8.639963e+00	3.556492e+02
372           	-8.434672e+00	3.555970e+02
374           	-8.234027e+00	3.555461e+02
376           	-8.037934e+00	3.554965e+02
378           	-7.846300e+00	3.554480e+02
380           	-7.659034e+00	3.554008e+02
382           	-7.476046e+00	3.553547e+02
384           	-7.297247e+00	3.553098e+02
386           	-7.122550e+00	3.552660e+02
388           	-6.951869e+00	3.552232e+02
390           	-6.785120e+00	3.551816e+02
392           	-6.622220e+00	3.551409e+02
394           	-6.463087e+00	3.551012e+02
396           	-6.307642e+00	3.550626e+02
398           	-6.155804e+00	3.550249e+02
400           	-6.007497e+00	3.549881e+02
402           	-5.862644e+00	3.549522e+02
404           	-5.721171e+00	3.549172e+02
406           	-5.583004e+00	3.548831e+02
408           	-5.448072e+00	3.548498e+02
410           	-5.316303e+00	3.548174e+02
412           	-5.187628e+00	3.547857e+02
414           	-5.061978e+00	3.547548e+02
416           	-4.939288e+00	3.547247e+02
418           	-4.819491e+00	3.546954e+02
420           	-4.702523e+00	3.546667e+02
422           	-4.588321e+00	3.546388e+02
424           	-4.476823e+00	3.546116e+02
426           	-4.367968e+00	3.545850e+02
428           	-4.261697e+00	3.545591e+02
430           	-4.157952e+00	3.545339e+02
432           	-4.056675e+00	3.545092e+02
434           	-3.957811e+00	3.544852e+02
436           	-3.861304e+00	3.544618e+02
438           	-3.767102e+00	3.544390e+02
440           	-3.675151e+00	3.544167e+02
442           	-3.585399e+00	3.543949e+02
444           	-3.497797e+00	3.543738e+02
446           	-3.412295e+00	3.543531e+02
448           	-3.328845e+00	3.543330e+02
450           	-3.247399e+00	3.543133e+02
452           	-3.167910e+00	3.542941e+02
454           	-3.090335e+00	3.542755e+02
456           	-3.014627e+00	3.542572e+02
458           	-2.940744e+00	3.542395e+02
460           	-2.868644e+00	3.542221e+02
462           	-2.798284e+00	3.542052e+02
464           	-2.729624e+00	3.541888e+02
466           	-2.662624e+00	3.541727e+02
468           	-2.597245e+00	3.541570e+02
470           	-2.533449e+00	3.541417e+02
472           	-2.471200e+00	3.541268e+02
474           	-2.410459e+00	3.541123e+02
476           	-2.351193e+00	3.540981e+02
478           	-2.293365e+00	3.540843e+02
480           	-2.236943e+00	3.540708e+02
482           	-2.181892e+00	3.540577e+02
484           	-2.128181e+00	3.540449e+02
486           	-2.075776e+00	3.540324e+02
488           	-2.024648e+00	3.540202e+02
490           	-1.974766e+00	3.540083e+02
492           	-1.926101e+00	3.539967e+02
494           	-1.878622e+00	3.539854e+02
496           	-1.832302e+00	3.539744e+02
498           	-1.787114e+00	3.539637e+02
500           	-1.743029e+00	3.539532e+02
502           	-1.700022e+00	3.539430e+02
504           	-1.658067e+00	3.539330e+02
506           	-1.617138e+00	3.539233e+02
508           	-1.577212e+00	3.539138e+02
510           	-1.538262e+00	3.539046e+02
512           	-1.500268e+00	3.538956e+02
514           	-1.463204e+00	3.538868e+02
516           	-1.427049e+00	3.538782e+02
518           	-1.391781e+00	3.538699e+02
520           	-1.357379e+00	3.538617e+02
522           	-1.323820e+00	3.538538e+02
524           	-1.291086e+00	3.538460e+02
526           	-1.259157e+00	3.538385e+02
528           	-1.228011e+00	3.538311e+02
530           	-1.197632e+00	3.538239e+02
532           	-1.167999e+00	3.538169e+02
534           	-1.139095e+00	3.538101e+02
536           	-1.110903e+00	3.538034e+02
538           	-1.083404e+00	3.537969e+02
540           	-1.056583e+00	3.537906e+02
542           	-1.030422e+00	3.537844e+02
544           	-1.004905e+00	3.537784e+02
