# Wall heat-flux
# Time        	patch         	min           	max           	integral      
2             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minX	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2             	minY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	oil_to_sphere	3.238747e+04	3.348349e+04	9.182018e+01
4             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4             	minX	0.000000e+00	0.000000e+00	0.000000e+00
4             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4             	minY	0.000000e+00	0.000000e+00	0.000000e+00
4             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4             	oil_to_sphere	2.932097e+04	3.037629e+04	8.342918e+01
6             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
6             	minX	0.000000e+00	0.000000e+00	0.000000e+00
6             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
6             	minY	0.000000e+00	0.000000e+00	0.000000e+00
6             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
6             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
6             	oil_to_sphere	2.661962e+04	2.767597e+04	7.609940e+01
8             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
8             	minX	0.000000e+00	0.000000e+00	0.000000e+00
8             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
8             	minY	0.000000e+00	0.000000e+00	0.000000e+00
8             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
8             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
8             	oil_to_sphere	2.431105e+04	2.542568e+04	6.980202e+01
10            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
10            	minX	0.000000e+00	0.000000e+00	0.000000e+00
10            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
10            	minY	0.000000e+00	0.000000e+00	0.000000e+00
10            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
10            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
10            	oil_to_sphere	2.396031e+04	2.507532e+04	6.882112e+01
12            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
12            	minX	0.000000e+00	0.000000e+00	0.000000e+00
12            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
12            	minY	0.000000e+00	0.000000e+00	0.000000e+00
12            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
12            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
12            	oil_to_sphere	2.361148e+04	2.472692e+04	6.784562e+01
14            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
14            	minX	0.000000e+00	0.000000e+00	0.000000e+00
14            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
14            	minY	0.000000e+00	0.000000e+00	0.000000e+00
14            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
14            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
14            	oil_to_sphere	2.326459e+04	2.438050e+04	6.687564e+01
16            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
16            	minX	0.000000e+00	0.000000e+00	0.000000e+00
16            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
16            	minY	0.000000e+00	0.000000e+00	0.000000e+00
16            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
16            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
16            	oil_to_sphere	2.291975e+04	2.403620e+04	6.591150e+01
18            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
18            	minX	0.000000e+00	0.000000e+00	0.000000e+00
18            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
18            	minY	0.000000e+00	0.000000e+00	0.000000e+00
18            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
18            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
18            	oil_to_sphere	2.257698e+04	2.369399e+04	6.495319e+01
20            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
20            	minX	0.000000e+00	0.000000e+00	0.000000e+00
20            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
20            	minY	0.000000e+00	0.000000e+00	0.000000e+00
20            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
20            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
20            	oil_to_sphere	2.223553e+04	2.335393e+04	6.400083e+01
22            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
22            	minX	0.000000e+00	0.000000e+00	0.000000e+00
22            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
22            	minY	0.000000e+00	0.000000e+00	0.000000e+00
22            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
22            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
22            	oil_to_sphere	2.189497e+04	2.301605e+04	6.305451e+01
24            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
24            	minX	0.000000e+00	0.000000e+00	0.000000e+00
24            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
24            	minY	0.000000e+00	0.000000e+00	0.000000e+00
24            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
24            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
24            	oil_to_sphere	2.155659e+04	2.268039e+04	6.211435e+01
26            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
26            	minX	0.000000e+00	0.000000e+00	0.000000e+00
26            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
26            	minY	0.000000e+00	0.000000e+00	0.000000e+00
26            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
26            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
26            	oil_to_sphere	2.122044e+04	2.234699e+04	6.118047e+01
28            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
28            	minX	0.000000e+00	0.000000e+00	0.000000e+00
28            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
28            	minY	0.000000e+00	0.000000e+00	0.000000e+00
28            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
28            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
28            	oil_to_sphere	2.088653e+04	2.201584e+04	6.025287e+01
30            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
30            	minX	0.000000e+00	0.000000e+00	0.000000e+00
30            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
30            	minY	0.000000e+00	0.000000e+00	0.000000e+00
30            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
30            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
30            	oil_to_sphere	2.055497e+04	2.168708e+04	5.933188e+01
32            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
32            	minX	0.000000e+00	0.000000e+00	0.000000e+00
32            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
32            	minY	0.000000e+00	0.000000e+00	0.000000e+00
32            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
32            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
32            	oil_to_sphere	2.022577e+04	2.136070e+04	5.841752e+01
34            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
34            	minX	0.000000e+00	0.000000e+00	0.000000e+00
34            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
34            	minY	0.000000e+00	0.000000e+00	0.000000e+00
34            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
34            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
34            	oil_to_sphere	1.989897e+04	2.103674e+04	5.750991e+01
36            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
36            	minX	0.000000e+00	0.000000e+00	0.000000e+00
36            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
36            	minY	0.000000e+00	0.000000e+00	0.000000e+00
36            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
36            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
36            	oil_to_sphere	1.957462e+04	2.071524e+04	5.660915e+01
38            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
38            	minX	0.000000e+00	0.000000e+00	0.000000e+00
38            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
38            	minY	0.000000e+00	0.000000e+00	0.000000e+00
38            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
38            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
38            	oil_to_sphere	1.925275e+04	2.039625e+04	5.571538e+01
40            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
40            	minX	0.000000e+00	0.000000e+00	0.000000e+00
40            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
40            	minY	0.000000e+00	0.000000e+00	0.000000e+00
40            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
40            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
40            	oil_to_sphere	1.893342e+04	2.007981e+04	5.482870e+01
42            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
42            	minX	0.000000e+00	0.000000e+00	0.000000e+00
42            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
42            	minY	0.000000e+00	0.000000e+00	0.000000e+00
42            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
42            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
42            	oil_to_sphere	1.861666e+04	1.976595e+04	5.394922e+01
44            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
44            	minX	0.000000e+00	0.000000e+00	0.000000e+00
44            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
44            	minY	0.000000e+00	0.000000e+00	0.000000e+00
44            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
44            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
44            	oil_to_sphere	1.830249e+04	1.945469e+04	5.307698e+01
46            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
46            	minX	0.000000e+00	0.000000e+00	0.000000e+00
46            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
46            	minY	0.000000e+00	0.000000e+00	0.000000e+00
46            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
46            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
46            	oil_to_sphere	1.799101e+04	1.914613e+04	5.221227e+01
48            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
48            	minX	0.000000e+00	0.000000e+00	0.000000e+00
48            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
48            	minY	0.000000e+00	0.000000e+00	0.000000e+00
48            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
48            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
48            	oil_to_sphere	1.768222e+04	1.884027e+04	5.135510e+01
50            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
50            	minX	0.000000e+00	0.000000e+00	0.000000e+00
50            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
50            	minY	0.000000e+00	0.000000e+00	0.000000e+00
50            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
50            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
50            	oil_to_sphere	1.737618e+04	1.853715e+04	5.050559e+01
52            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
52            	minX	0.000000e+00	0.000000e+00	0.000000e+00
52            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
52            	minY	0.000000e+00	0.000000e+00	0.000000e+00
52            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
52            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
52            	oil_to_sphere	1.707291e+04	1.823682e+04	4.966384e+01
54            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
54            	minX	0.000000e+00	0.000000e+00	0.000000e+00
54            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
54            	minY	0.000000e+00	0.000000e+00	0.000000e+00
54            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
54            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
54            	oil_to_sphere	1.677246e+04	1.793930e+04	4.882995e+01
56            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
56            	minX	0.000000e+00	0.000000e+00	0.000000e+00
56            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
56            	minY	0.000000e+00	0.000000e+00	0.000000e+00
56            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
56            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
56            	oil_to_sphere	1.647486e+04	1.764463e+04	4.800403e+01
58            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
58            	minX	0.000000e+00	0.000000e+00	0.000000e+00
58            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
58            	minY	0.000000e+00	0.000000e+00	0.000000e+00
58            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
58            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
58            	oil_to_sphere	1.618015e+04	1.735285e+04	4.718615e+01
60            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
60            	minX	0.000000e+00	0.000000e+00	0.000000e+00
60            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
60            	minY	0.000000e+00	0.000000e+00	0.000000e+00
60            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
60            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
60            	oil_to_sphere	1.588836e+04	1.706398e+04	4.637643e+01
62            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
62            	minX	0.000000e+00	0.000000e+00	0.000000e+00
62            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
62            	minY	0.000000e+00	0.000000e+00	0.000000e+00
62            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
62            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
62            	oil_to_sphere	1.559949e+04	1.677803e+04	4.557485e+01
64            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
64            	minX	0.000000e+00	0.000000e+00	0.000000e+00
64            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
64            	minY	0.000000e+00	0.000000e+00	0.000000e+00
64            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
64            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
64            	oil_to_sphere	1.531364e+04	1.649509e+04	4.478169e+01
66            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
66            	minX	0.000000e+00	0.000000e+00	0.000000e+00
66            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
66            	minY	0.000000e+00	0.000000e+00	0.000000e+00
66            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
66            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
66            	oil_to_sphere	1.503080e+04	1.621529e+04	4.399692e+01
68            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
68            	minX	0.000000e+00	0.000000e+00	0.000000e+00
68            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
68            	minY	0.000000e+00	0.000000e+00	0.000000e+00
68            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
68            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
68            	oil_to_sphere	1.475100e+04	1.594033e+04	4.322063e+01
70            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
70            	minX	0.000000e+00	0.000000e+00	0.000000e+00
70            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
70            	minY	0.000000e+00	0.000000e+00	0.000000e+00
70            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
70            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
70            	oil_to_sphere	1.447428e+04	1.566841e+04	4.245290e+01
72            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
72            	minX	0.000000e+00	0.000000e+00	0.000000e+00
72            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
72            	minY	0.000000e+00	0.000000e+00	0.000000e+00
72            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
72            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
72            	oil_to_sphere	1.420064e+04	1.539955e+04	4.169377e+01
74            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
74            	minX	0.000000e+00	0.000000e+00	0.000000e+00
74            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
